ward_no,ward_name,avg_temp
95,Nagavara,24.530
16,Kammagondanahalli,24.612
126,Ramaswamy Palya,24.484
127,Jayamahal,24.332
128,Vasanth Nagar,24.332
190,Madivala,24.527
192,BTM Layout,24.527
193,N S Palya,24.478
66,Radhakrishna Temple Ward,24.506
67,Sanjaya Nagar,24.533
68,Vishwanath Nagenahalli,24.580
70,Hebbala,24.457
72,Ganga Nagar,24.406
73,Jayachamarajendra  Nagar,24.357
69,Manorayanapalya,24.530
15,Kuvempunagar,24.406
13,Dodda Bommasandra,24.357
11,Byatarayanapura,24.212
14,Vidyaranyapura,24.457
18,Bagalakunte,24.740
111,Hagadur,24.705
112,Varthuru,24.677
113,Munnekollala,24.701
199,Sarakki,24.378
198,J P Nagar,24.427
81,Horamavu,24.630
82,Babusab Palya,24.530
83,Kalkere,24.580
87,Medahalli,24.505
84,Ramamurthy Nagara,24.430
85,Vijinapura,24.479
86,K R Puram,24.555
88,Basavanapura,24.605
89,Devasandra,24.505
91,A Narayanapura,24.579
90,Mahadevapura,24.529
92,Vijnana Nagar,24.579
227,Begur,24.445
226,Kalena Agrahara,24.336
217,Uttarahalli,24.678
206,Padmanabha Nagar,24.527
202,Ganesh Mandir ward,24.527
203,Banashankari Temple ward,24.478
146,Dr. Raj Kumar Ward,24.732
147,Agrahara Dasarahalli,24.684
149,Kaveripura,24.732
148,Govindaraja Nagar,24.584
150,Marenahalli,24.632
151,Maruthi Mandir ward,24.784
152,Mudalapalya,24.765
153,Nagarabhavi,24.965
154,Chandra Layout,24.965
155,Nayandahalli,25.065
19,Defence Colony,24.540
35,Hemmigepura,24.860
182,Shanthi Nagar,24.632
183,Neelasandra,24.479
184,Vannarapete,24.579
29,Vidyamanyanagar,24.665
